system	alpha_mean	i_max	i_min	k_max	mean	cv	svc	memory_effect	regulation_time	IR
AL_0013 (WoKaS)	0.095	0.29	0.09	0.02	7.43	188	45	2	12	0.20
AU_0003 (WoKaS)	0.007	0.90	0.45	0.18	1.76	83	8	62	47	0.45
CH_0027 (WoKaS)	0.021	0.58	0.13	0.10	0.30	111	12	9	13	0.45
CN_0018 (WoKaS)	0.002	0.89	0.53	1.06	6.63	59	4	65	58	0.37
CN_0019 (WoKaS)	0.081	0.11	0.06	0.03	0.03	335	NA	NA	NA	0.05
CN_0020 (WoKaS)	0.022	0.39	0.27	0.07	0.35	177	40	44	30	0.12
CN_0021 (WoKaS)	0.002	0.87	0.86	0.96	4.48	58	4	56	52	0.01
CN_0024 (WoKaS)	0.187	0.17	0.02	0.01	0.22	371	85	2	7	0.15
DE_0012 (WoKaS)	0.002	0.83	0.74	1.13	0.70	36	2	57	44	0.09
ES_0002 (WoKaS)	0.020	0.74	0.37	0.11	2.26	160	84	58	49	0.37
ES_0021 (WoKaS)	0.016	0.87	0.67	0.09	0.97	124	64	73	76	0.20
FR_0057 (WoKaS)	0.087	0.11	0.07	0.07	0.91	256	21	NA	NA	0.05
FR_0074 (WoKaS)	0.003	0.62	0.61	0.85	7.79	65	3	33	34	0.01
GB_0023 (WoKaS)	0.018	0.71	0.57	0.07	0.62	100	21	53	43	0.14
GB_0028 (WoKaS)	0.086	0.33	0.00	0.06	0.15	316	86	12	24	0.32
HR_0002 (WoKaS)	0.006	0.74	0.05	0.61	25.23	90	10	47	43	0.69
HR_0005 (WoKaS)	0.019	0.67	0.14	0.13	4.34	127	11	22	25	0.52
HR_0006 (WoKaS)	0.005	0.78	0.58	0.41	11.84	75	6	39	36	0.20
HR_0010 (WoKaS)	0.007	0.58	0.33	0.22	1.85	108	8	45	33	0.25
HR_0011 (WoKaS)	0.161	0.50	0.00	0.02	6.71	128	NA	19	21	0.50
HR_0012 (WoKaS)	0.010	0.75	0.68	0.22	4.65	76	8	24	30	0.07
HR_0017 (WoKaS)	0.050	0.59	0.07	0.03	13.49	124	18	10	15	0.51
HR_0018 (WoKaS)	0.057	0.54	0.03	0.12	3.67	159	11	5	10	0.51
HR_0020 (WoKaS)	0.021	0.45	0.10	0.07	5.64	137	20	9	15	0.35
HU_0001 (WoKaS)	0.004	0.86	0.19	0.74	0.11	84	4	69	49	0.67
IE_0018 (WoKaS)	0.009	0.74	0.64	0.35	0.33	104	8	58	53	0.10
IE_0022 (WoKaS)	0.074	0.22	0.07	0.01	0.14	126	22	7	14	0.15
PE_0003 (WoKaS)	0.067	0.34	0.05	0.04	0.51	146	49	15	18	0.30
PE_0005 (WoKaS)	0.027	0.66	0.20	0.15	5.00	58	4	NA	NA	0.46
PR_0001 (WoKaS)	0.008	0.39	0.00	0.28	0.23	84	7	62	51	0.39
PR_0005 (WoKaS)	0.007	0.17	0.07	0.54	0.05	77	4	2	6	0.10
RS_0009 (WoKaS)	0.023	0.62	0.23	0.07	0.55	136	25	16	22	0.39
SI_0002 (WoKaS)	0.047	0.45	0.17	0.06	3.74	159	39	9	15	0.28
SI_0004 (WoKaS)	0.045	0.44	0.15	0.06	2.89	132	13	9	14	0.28
SI_0010 (WoKaS)	0.019	0.84	0.11	0.05	22.23	97	20	42	42	0.73
SI_0011 (WoKaS)	0.024	0.39	0.12	0.16	6.53	124	12	7	13	0.27
SI_0021 (WoKaS)	0.022	0.37	0.10	0.07	6.59	122	12	7	13	0.27
US_0039 (WoKaS)	0.006	0.63	0.24	0.64	4.73	95	4	46	33	0.38
US_0041 (WoKaS)	0.001	0.84	0.31	2.43	12.70	37	2	77	57	0.53
US_0072 (WoKaS)	0.013	0.42	0.05	0.33	4.25	189	7	8	21	0.37
US_0074 (WoKaS)	0.055	0.36	0.34	0.02	3.54	140	18	5	10	0.03
US_0075 (WoKaS)	0.001	0.95	0.21	3.72	42.67	18	1	NA	71	0.74
US_0077 (WoKaS)	0.089	0.72	0.13	0.03	0.64	92	36	28	34	0.59
Cent fonts	0.007	0.66	0.23	0.27	1.15	132	10	25	28	0.43
Qachqouch	0.034	0.59	0.08	0.15	1.13	162	56	37	33	0.51
Homede	0.009	0.72	0.23	0.27	0.27	142	12	45	37	0.50
Boundoulaou	0.009	0.72	0.33	0.30	0.23	107	7	52	41	0.39
Aliou	0.067	0.21	0.03	0.02	0.45	190	32	5	11	0.18
Baget	0.021	0.46	0.23	0.08	0.49	147	14	18	24	0.23
Durzon	0.004	0.86	0.16	0.78	1.63	60	3	50	41	0.70
Esperelle	0.022	0.65	0.03	0.13	1.11	140	12	28	30	0.62
Fontaine de nimes	0.021	0.48	0.23	0.09	0.54	222	40	19	18	0.25
Fontaine de Vaucluse	0.005	0.92	0.79	0.40	17.54	71	6	81	68	0.14
Grand bief	0.021	0.38	0.09	0.09	1.01	127	20	13	23	0.28
Mouline	0.005	0.68	0.07	0.59	0.51	46	3	58	45	0.60
Doubs	0.059	0.33	0.00	0.02	1.92	120	24	8	12	0.33
Toulon	0.002	0.76	0.61	0.97	0.49	37	3	102	86	0.15
Adoux	0.012	0.57	0.12	0.25	0.07	78	8	68	57	0.44
Aiguebelle	0.009	0.70	0.34	0.28	0.13	126	7	20	26	0.36
Balastiere	0.023	0.50	0.27	0.06	0.07	202	32	11	17	0.23
Barbade	0.024	0.74	0.34	0.20	0.08	177	9	33	31	0.40
Buzareingue	0.014	0.91	0.22	0.28	0.02	83	9	63	50	0.69
Cernon	0.005	0.71	0.20	0.67	0.19	101	5	31	31	0.51
Chartreuse	0.013	0.63	0.20	0.16	0.06	104	14	31	31	0.43
Dragonniere	0.014	0.72	0.34	0.18	0.08	147	23	32	30	0.39
Duc	0.021	0.81	0.10	0.07	0.04	135	35	48	43	0.70
Douz	0.011	0.84	0.28	0.34	0.07	122	12	67	49	0.56
Fousette	0.006	0.79	0.11	0.79	0.16	102	6	40	38	0.68
Gloriette	0.006	0.65	0.16	0.42	0.10	171	4	12	16	0.50
Lestang	0.013	0.58	0.33	0.13	0.21	120	12	33	34	0.25
Roquaizou	0.034	0.24	0.19	0.13	0.02	169	38	37	30	0.05
Segala	0.014	0.57	0.50	0.15	0.17	122	15	48	38	0.07
Serre	0.017	0.59	0.23	0.09	0.02	198	25	18	19	0.36
Saint Pierre	0.031	0.21	0.12	0.03	0.17	171	228	52	47	0.08
Taillade	0.006	0.62	0.54	0.56	0.06	74	4	40	38	0.08
Taurin	0.010	0.67	0.57	0.14	0.08	104	13	67	61	0.10
Lez	0.076	0.80	0.44	0.17	0.98	132	NA	62	48	0.36
